order,WEEK,TEAM NAME,ABBR,POS,TEAM,SLOT,PLAYER,PROJ,FPTS
1,1,Team :(,SA,QB,Chi, QB,Justin Fields,19.5,14.54
2,1,Team :(,SA,RB,TB,RB,Rachaad White,13.9,6.9
3,1,Team :(,SA,RB,Atl,RB,Tyler Allgeier,8.8,24.4
4,1,Team :(,SA,WR,Cin,WR,Tee Higgins,14.6,0
5,1,Team :(,SA,WR,LAR,WR,Van Jefferson,10.8,6.4
6,1,Team :(,SA,TE,Hou,TE,Dalton Schultz,8.2,2.4
7,1,Team :(,SA,WR,LAC,FLEX,Mike Williams,12.8,8.5
8,1,Team :(,SA,WR,NO,FLEX,Michael Thomas,12.2,11.1
9,1,Team :(,SA,K,LV,K,Daniel Carlson,8.2,5
10,1,Team :(,SA,WR,LAR,Bench,Cooper Kupp,0,0
11,1,Team :(,SA,RB,Ind,Bench,Jonathan Taylor,0,0
12,1,Team :(,SA,WR,Wsh,Bench,Jahan Dotson,11.2,9
13,1,Team :(,SA,QB,Ind,Bench,Anthony Richardson,17.2,20.92
14,1,Team :(,SA,WR,Min,Bench,K.J. Osborn,7.9,6.1
15,1,Team :(,SA,TE,NE,Bench,Mike Gesicki,7.2,6.6
16,1,Team :(,SA,RB,TB,Bench,Chase Edmonds,4,0.8
17,1,Crock Pot,DB,QB,Dal,QB,Dak Prescott,18.4,6.32
18,1,Crock Pot,DB,RB,LV,RB,Josh Jacobs,16.5,9.1
19,1,Crock Pot,DB,RB,Pit,RB,Najee Harris,13.6,5.3
20,1,Crock Pot,DB,WR,Cin,WR,Ja'Marr Chase,20.4,9.1
21,1,Crock Pot,DB,WR,TB,WR,Chris Godwin,14.1,10.1
22,1,Crock Pot,DB,TE,Atl,TE,Kyle Pitts,10.1,6.4
23,1,Crock Pot,DB,WR,Ari,FLEX,Marquise Brown,12.6,8.7
24,1,Crock Pot,DB,RB,Mia,FLEX,Raheem Mostert,12.8,13
25,1,Crock Pot,DB,K,Chi,K,Cairo Santos,8.1,7
26,1,Crock Pot,DB,WR,GB,Bench,Christian Watson,0,0
27,1,Crock Pot,DB,WR,Bal,Bench,Odell Beckham Jr.,10.8,5.7
28,1,Crock Pot,DB,WR,Chi,Bench,Darnell Mooney,9.2,15.3
29,1,Crock Pot,DB,TE,Ten,Bench,Chigoziem Okonkwo,8,0
30,1,Crock Pot,DB,WR,GB,Bench,Jayden Reed,9.5,6.6
31,1,Crock Pot,DB,RB,Ind,Bench,Zack Moss,0,0
32,1,Crock Pot,DB,TE,NO,Bench,Juwan Johnson,8,6.6
33,1,Giles C,JG,QB,Cle,QB,Deshaun Watson,18.5,20.66
34,1,Giles C,JG,RB,LAC,RB,Austin Ekeler,17.9,26.4
35,1,Giles C,JG,RB,Cin,RB,Joe Mixon,14.8,10.3
36,1,Giles C,JG,WR,Phi,WR,DeVonta Smith,14,17.7
37,1,Giles C,JG,WR,Ten,WR,DeAndre Hopkins,13.5,13.5
38,1,Giles C,JG,TE,Cle,TE,David Njoku,10,4.4
39,1,Giles C,JG,WR,Sea,FLEX,Tyler Lockett,13,3
40,1,Giles C,JG,WR,LV,FLEX,Jakobi Meyers,10.9,29.1
41,1,Giles C,JG,K,Sea,K,Jason Myers,8.6,7
42,1,Giles C,JG,RB,NO,Bench,Alvin Kamara,0,0
43,1,Giles C,JG,RB,KC,Bench,Jerick McKinnon,11.2,2
44,1,Giles C,JG,WR,Bal,Bench,Zay Flowers,9.9,17.7
45,1,Giles C,JG,TE,LAR,Bench,Tyler Higbee,11.8,7.9
46,1,Giles C,JG,RB,Bal,Bench,Gus Edwards,5.4,5.2
47,1,Giles C,JG,RB,LAR,Bench,Kyren Williams,6.1,17.4
48,1,Giles C,JG,TE,Ind,Bench,Jelani Woods,0,0
49,1,Captain Ben Safarz,SB,QB,Cin,QB,Joe Burrow,19.8,3.18
50,1,Captain Ben Safarz,SB,RB,SF,RB,Christian McCaffrey,17.3,25.9
51,1,Captain Ben Safarz,SB,RB,Jax,RB,Travis Etienne Jr.,15.1,21.4
52,1,Captain Ben Safarz,SB,WR,Mia,WR,Jaylen Waddle,15.3,11.8
53,1,Captain Ben Safarz,SB,WR,Chi,WR,DJ Moore,12.7,4.5
54,1,Captain Ben Safarz,SB,TE,Jax,TE,Evan Engram,9.9,9.9
55,1,Captain Ben Safarz,SB,WR,Pit,FLEX,George Pickens,10.8,8.6
56,1,Captain Ben Safarz,SB,RB,Bal,FLEX,J.K. Dobbins,12.7,11.7
57,1,Captain Ben Safarz,SB,K,Buf,K,Tyler Bass,8,13
58,1,Captain Ben Safarz,SB,WR,Min,Bench,Jordan Addison,9.4,16.1
59,1,Captain Ben Safarz,SB,WR,Ari,Bench,Rondale Moore,8.9,7.5
60,1,Captain Ben Safarz,SB,RB,Phi,Bench,Rashaad Penny,0,0
61,1,Captain Ben Safarz,SB,TE,LAC,Bench,Gerald Everett,7.5,4.3
62,1,Captain Ben Safarz,SB,RB,Car,Bench,Chuba Hubbard,5.9,8.9
63,1,Captain Ben Safarz,SB,K,Atl,Bench,Younghoe Koo,7.9,7
64,1,Captain Ben Safarz,SB,WR,Ind,Bench,Alec Pierce,7.5,1.5
65,1,Talking Taints,CM,QB,Jax,QB,Trevor Lawrence,18.5,17.74
