RK,TEAM,ABBR,W,L,T,PCT,GB,PLAYOFF %,PF,PA,DIV,HOME,AWAY,STRK,MOVES
1,Killit Skillets,CP,7,3,0,0.7,--,93,1341.7,1108.7,7/3/2000,2/2/2000,5/1/2000,W3,20
2,Giles C,JG,7,3,0,0.7,--,86,1148.58,1083.08,7/3/2000,3/2/2000,4/1/2000,L1,6
3,Bully Heart,MF,6,4,0,0.6,1,61,1277.2,1145.72,6/4/2000,3/2/2000,3/2/2000,W1,15
4,Crock Pot,DB,6,4,0,0.6,1,43,1124.42,1140.3,6/4/2000,4/1/2000,2/3/2000,W1,25
5,Talking Taints,CM,6,4,0,0.6,1,49,1107.98,1102.52,6/4/2000,3/2/2000,3/2/2000,L4,7
6,Paimon's Lament,MC,5,5,0,0.5,2,31,1377.8,1201.78,5/5/2000,3/3/2000,2/2/2000,W1,13
7,Captain Ben Safarz,SB,5,5,0,0.5,2,31,1256.4,1238.4,5/5/2000,2/4/2000,3/1/2000,L2,6
8,Big Fat Poons,LW,4,6,0,0.4,3,5,1171.64,1173.22,4/6/2000,1/3/2000,3/3/2000,L2,10
9,Kush Warlock,MW,4,6,0,0.4,3,1,1025.76,1204.68,4/6/2000,3/2/2000,1/4/2000,L1,10
10,Team :(,SA,4,6,0,0.4,3,1,990.74,1153.62,4/6/2000,1/4/2000,3/2/2000,L1,6
11,I Want To Leave,AD,3,7,0,0.3,4,1,1107.28,1307,3/7/2000,1/3/2000,2/4/2000,W2,9
12,😈 ⏰,MS,3,7,0,0.3,4,1,1089.92,1160.4,3/7/2000,2/4/2000,1/3/2000,W2,13
